trial_id,def_sex,offence,trial_place,trial_judge,verdict,trial_year,sentence
86477,MALE,LARCENY,BRISBANE,LUTWYCHE,GUILTY,1878,12-18 MONTHS HL
86480,MALE,CATTLE STEALING,BRISBANE,LUTWYCHE,GUILTY RECOMMENDED TO MERCY,1878,1-11 MONTHS HL
86484,MALE,HORSE STEALING,BRISBANE,LUTWYCHE,GUILTY,1878,12-18 MONTHS HL
86491,MALE,FALSE PRETENCES,BRISBANE,LUTWYCHE,NOT GUILTY,1878,DISCHARGED
86970,MALE,LARCENY,ROCKHAMPTON,MILLER,GUILTY,1894,2 YEARS HL
86979,MALE,LARCENY,ROCKHAMPTON,MILLER,GUILTY,1894,2 YEARS HL
87189,MALE,LARCENY,ROMA,MILLER,NOLLE,1882,DISCHARGED
87213,MALE,LARCENY,ROCKHAMPTON,MILLER,GUILTY,1894,2 YEARS HL
87219,MALE,LARCENY,BRISBANE,PAUL,GUILTY RECOMMENDED TO MERCY,1894,12-18 MONTHS HL
87807,MALE,LARCENY,BUNDABERG,MILLER,GUILTY,1894,2 YEARS HL
87977,MALE,EMBEZZLEMENT,ROCKHAMPTON,MILLER,GUILTY RECOMMENDED TO MERCY,1883,12-18 MONTHS HL
88011,MALE,LARCENY & RECEIVING,IPSWICH,LUTWYCHE,GUILTY,1879,12-18 MONTHS HL
88044,MALE,LARCENY,IPSWICH,PAUL,GUILTY,1888,SUSPENDED
89886,FEMALE,LARCENY,BRISBANE,LUTWYCHE,NOT GUILTY,1879,DISCHARGED
89887,MALE,LARCENY,BRISBANE,LUTWYCHE,GUILTY,1879,3 YEARS HL
89888,MALE,LARCENY,BRISBANE,LUTWYCHE,GUILTY,1879,3 YEARS HL
89892,MALE,FALSE PRETENCES,BRISBANE,LUTWYCHE,GUILTY,1879,1-11 MONTHS HL
89893,MALE,FORGERY OR UTTERING,BRISBANE,LUTWYCHE,NOT GUILTY,1879,DISCHARGED
89894,MALE,FORGERY OR UTTERING,BRISBANE,LUTWYCHE,GUILTY,1879,2 YEARS HL
89926,FEMALE,LARCENY & RECEIVING,TOOWOOMBA,LUTWYCHE,NOLLE,1879,DISCHARGED
90117,MALE,LARCENY,BRISBANE,LUTWYCHE,GUILTY,1879,12-18 MONTHS HL
90128,MALE,LARCENY & RECEIVING,BRISBANE,LUTWYCHE,GUILTY,1879,1-11 MONTHS HL
90129,MALE,LARCENY & RECEIVING,BRISBANE,LUTWYCHE,NOT GUILTY,1879,DISCHARGED
90145,FEMALE,LARCENY,BRISBANE,LUTWYCHE,GUILTY,1879,2 YEARS HL
90398,MALE,LARCENY,TOOWOOMBA,PAUL,NOT GUILTY,1893,DISCHARGED
91206,MALE,LARCENY,ROCKHAMPTON,MILLER,GUILTY,1884,12-18 MONTHS
92423,MALE,HORSE STEALING,BRISBANE,LUTWYCHE,NOT GUILTY,1859,DISCHARGED
93159,MALE,HORSE STEALING,BRISBANE,LUTWYCHE,NOT GUILTY,1859,DISCHARGED
93167,MALE,LARCENY & RECEIVING,BRISBANE,LUTWYCHE,NOT GUILTY,1859,DISCHARGED
93168,FEMALE,LARCENY & RECEIVING,BRISBANE,LUTWYCHE,NOT GUILTY,1859,DISCHARGED
93290,MALE,FALSE PRETENCES,BRISBANE,LUTWYCHE,NOT GUILTY,1859,DISCHARGED
93315,FEMALE,LARCENY,BRISBANE,LUTWYCHE,GUILTY,1859,12-18 MONTHS HL
93335,MALE,LARCENY,BRISBANE,LUTWYCHE,NOT GUILTY,1859,DISCHARGED
93336,MALE,LARCENY,BRISBANE,LUTWYCHE,NOT GUILTY,1859,DISCHARGED
93386,MALE,LARCENY & RECEIVING,BRISBANE,LUTWYCHE,GUILTY,1859,12-18 MONTHS HL
93391,MALE,LARCENY & RECEIVING,BRISBANE,LUTWYCHE,GUILTY,1859,1-11 MONTHS HL
94342,MALE,LARCENY,MARYBOROUGH,MILLER,GUILTY,1899,SUSPENDED
94344,MALE,LARCENY,BUNDABERG,MILLER,NOT GUILTY,1899,DISCHARGED
94376,MALE,EMBEZZLEMENT,MARYBOROUGH,MILLER,GUILTY,1899,12-18 MONTHS HL
