"Squirrel Census data collected by a team of dedicated volunteer Squirrel Surveyors, under directions from the Dept. of Data - NYC.",,,,,,,,,,,,
The Squirrel Census covered 24 parks in New York City.,,,,,,,,,,,,
Data was collected over a 1 year period; March 2020 to Febuary 2021.,,,,,,,,,,,,
,,,,,,,,,,,,
Area,Park name,Park ID,Date,Squirrel ID,Squirrel count,Fur colour,Location,Activities; Interactions with Humans,Other Notes or Observations,Latitude,Longitude,Acres
UPPER MANHATTAN,Riverside Park (section near Grant Memorial),M071,16/05/2020,M071-13,1,Gray,On ground,Eating; Indifferent to humans,,,,253.168
UPPER MANHATTAN,Riverside Park (section near Grant Memorial),M071,16/05/2020,M071-14,1,Gray,On ground,Eating; Indifferent to humans,,,,253.168
UPPER MANHATTAN,Riverside Park; Grant Memorial,M071,16/05/2020,M071-15,1,Gray,On ground,Chasing; Indifferent to humans,,,,253.168
UPPER MANHATTAN,Riverside Park (Section Near Grant Memorial),M071,16/05/2020,M071-16,1,Gray,On ground,Chasing; Indifferent to humans,,,,253.168
UPPER MANHATTAN,Riverside Park (section near Grant Memorial),M071,16/05/2020,M071-17,1,Gray,On ground,Eating; Okay with people,,,,253.168
UPPER MANHATTAN,Riverside Park (section near Grant Memorial),M071,16/05/2020,M071-18,1,Gray,On ground,Running; Indifferent to humans,,,,253.168
UPPER MANHATTAN,Riverside Park (section near Grant Memorial),M071,16/05/2020,M071-19,1,Gray,"Above Ground, Specific Location: Tree",Running; Indifferent to humans,,,,253.168
UPPER MANHATTAN,Riverside Park (Section Near Grant Memorial),M071,16/05/2020,M071-20,1,Gray,On ground,Running; Indifferent to humans,,,,253.168
UPPER MANHATTAN,Riverside Park; Grant Memorial,M071,16/05/2020,M071-21,1,Gray,"On ground, Specific Location: at tree",Indifferent to humans,,,,253.168
UPPER MANHATTAN,Riverside Park (Section Near Grant Memorial),M071,16/05/2020,M071-22,1,Gray,On ground,Chasing,,,,253.168
UPPER MANHATTAN,Riverside Park (section near Grant Memorial),M071,16/05/2020,M071-23,1,Gray,On ground,Chasing,,,,253.168
UPPER MANHATTAN,Riverside Park (Section Near Grant Memorial),M071,16/05/2020,M071-24,1,Gray,,Sitting at attention,,,,253.168
UPPER MANHATTAN,Riverside Park; Grant Memorial,M071,16/05/2020,M071-25,1,Gray,On ground,Eating; Indifferent to humans,,,,253.168
UPPER MANHATTAN,Riverside Park (section near Grant Memorial),M071,16/05/2020,M071-26,1,Gray,On ground,Eating; Indifferent to humans,,,,253.168
UPPER MANHATTAN,Riverside Park; Grant Memorial,M071,16/05/2020,M071-27,1,Gray,On ground,Foraging; Indifferent to humans,,,,253.168
UPPER MANHATTAN,Riverside Park (section near Grant Memorial),M071,16/05/2020,M071-28,1,Gray,On ground,Foraging; Indifferent to humans,,,,253.168
UPPER MANHATTAN,Marcus Garvey Park,M058,13/06/2020,M058-01,1,Gray,Above Ground,Climbing; Indifferent to humans,HAWK. HAAAAAWK. All in 1 tree.,40.804912,-73.943735,20.165
UPPER MANHATTAN,Marcus Garvey Park,M058,13/06/2020,M058-02,1,Gray,Above Ground,Climbing; Indifferent to humans,HAWK. HAAAAAWK. All in 1 tree.,40.804912,-73.943736,20.165
UPPER MANHATTAN,Marcus Garvey Park,M058,13/06/2020,M058-03,1,Gray,Above Ground,Climbing; Indifferent to humans,HAWK. HAAAAAWK. All in 1 tree.,40.804913,-73.943735,20.165
